current_living_arrangement,individual_lives_with,individual_age,gender,marital_status,househead_employment_status,individual_employment_status,PLWD,PLHIV,female_sex_worker,IDP,drug_user,out_of_school_child,household_help,child_apprentice,orphans,vul_cat_if_applicable,other_vulnerability,educational_status,vulnerability_target
-1,2,21.0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,2,19.0,1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-1,2,16.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
3,3,36.0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0
2,1,7.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,36.0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,4,0
3,3,35.0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,5,0
2,1,10.0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,30.0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,-1,25.0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,3,0
0,0,25.0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,27.0,1,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,3,0
3,3,32.0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,2,0
0,0,28.0,0,2,-1,1,0,0,0,0,0,0,0,0,0,1,0,4,0
2,1,16.0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-1,-1,45.0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0
-1,-1,25.0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
3,3,26.0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3,2,15.0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,17.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1,1,10.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,25.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
-1,-1,20.0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
2,1,15.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,1
2,1,34.0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
3,3,36.0,1,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,1,11.0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,23.0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,24.0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,3,1
0,0,35.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
3,3,31.0,1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-1,2,18.0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,12.0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2,1,11.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,29.0,1,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,38.0,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
2,1,13.0,0,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,1,40.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,7.0,0,-1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,1,6.0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,1,16.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,29.0,1,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
